발표시간,지역,발효시각,해당지역,내용
2023-01-13 12:30,부산·울산·경상남도,(1) 호우경보 해제 : 2023년 01월 13일 12시 30분 / (2) 호우주의보 해제 : 2023년 01월 13일 12시 30분,(1) 호우경보 해제 : 경상남도(거제) / (2) 호우주의보 해제 : 경상남도(양산. 통영). 부산,
2023-01-13 13:10,부산·울산·경상남도,(1) 풍랑주의보 해제 : 2023년 01월 13일 13시 10분,(1) 풍랑주의보 해제 : 경남서부남해앞바다( 동부평수구역 . 서부평수구역 ),
2023-01-13 20:00,부산·울산·경상남도,(1) 풍랑주의보 해제 : 2023년 01월 13일 21시 00분,(1) 풍랑주의보 해제 : 동해남부앞바다(울산앞바다). 남해동부앞바다(부산앞바다. 경남서부남해앞바다. 거제시동부앞바다),
2023-01-13 20:00,대구·경상북도,(1) 풍랑주의보 해제 : 2023년 01월 13일 21시 00분,(1) 풍랑주의보 해제 : 동해남부앞바다(경북남부앞바다. 경북북부앞바다),
2023-01-13 23:00,부산·울산·경상남도,(1) 풍랑주의보 해제 : 2023년 01월 14일 01시 00분,(1) 풍랑주의보 해제 : 동해남부남쪽안쪽먼바다. 동해남부남쪽바깥먼바다. 남해동부안쪽먼바다. 남해동부바깥먼바다,
2023-01-14 6:00,대구·경상북도,(1) 풍랑주의보 발표 : 2023년 01월 14일 08시 00분,(1) 풍랑주의보 발표 : 동해남부앞바다(경북남부앞바다. 경북북부앞바다),(1) 풍랑주의보 발표 /   o 해제 예고: 16일 낮(12시~15시)
2023-01-14 14:00,부산·울산·경상남도,(1) 풍랑주의보 발표 : 2023년 01월 14일 16시 00분 / (2) 풍랑주의보 발표 : 2023년 01월 14일 16시 00분,(1) 풍랑주의보 발표 : 동해남부앞바다(울산앞바다) / (2) 풍랑주의보 발표 : 동해남부남쪽안쪽먼바다. 동해남부남쪽바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 16일 늦은 오후(15시~18시) / (2) 풍랑주의보 발표 /   o 해제 예고: 17일 새벽(03시~06시)
2023-01-14 14:00,대구·경상북도,(1) 풍랑경보 변경 : 2023년 01월 14일 16시 00분,(1) 풍랑경보 변경 : 동해남부북쪽안쪽먼바다. 동해남부북쪽바깥먼바다,(1) 풍랑경보 변경 /   o 해제 예고: 17일 새벽(00시~03시)
2023-01-14 16:00,부산·울산·경상남도,(1) 풍랑주의보 발표 : 2023년 01월 14일 18시 00분 / (2) 풍랑주의보 발표 : 2023년 01월 14일 18시 00분,(1) 풍랑주의보 발표 : 남해동부앞바다(부산앞바다. 거제시동부앞바다) / (2) 풍랑주의보 발표 : 남해동부안쪽먼바다. 남해동부바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 16일 늦은 오후(15시~18시) / (2) 풍랑주의보 발표 /   o 해제 예고: 17일 오전(09시~12시)
2023-01-14 17:10,부산·울산·경상남도,(1) 풍랑주의보 해제 : 2023년 01월 14일 18시 00분,(1) 풍랑주의보 해제 : 부산앞바다( 서부평수구역 ),
2023-01-14 18:00,대구·경상북도,(1) 대설주의보 발표 : 2023년 01월 14일 22시 00분,(1) 대설주의보 발표 : 경상북도(경북북동산지),
2023-01-15 8:10,부산·울산·경상남도,(1) 풍랑주의보 해제 : 2023년 01월 15일 08시 10분,(1) 풍랑주의보 해제 : 부산앞바다( 동부평수구역 . 연안바다 ). 거제시동부앞바다( 연안바다 ),
2023-01-15 9:00,대구·경상북도,(1) 강풍주의보 해제 : 2023년 01월 15일 09시 00분 / (2) 풍랑주의보 변경 : 2023년 01월 15일 10시 00분,(1) 강풍주의보 해제 : 울릉도.독도 / (2) 풍랑주의보 변경 : 동해남부북쪽안쪽먼바다. 동해남부북쪽바깥먼바다,(2) 풍랑주의보 변경 /   o 해제 예고: 17일 새벽(00시~03시)
2023-01-15 11:30,대구·경상북도,(1) 대설주의보 발표 : 2023년 01월 15일 11시 30분,(1) 대설주의보 발표 : 경상북도(문경. 영주. 봉화평지),
2023-01-15 14:00,대구·경상북도,(1) 대설주의보 해제 : 2023년 01월 15일 14시 00분,(1) 대설주의보 해제 : 경상북도(문경),
2023-01-15 15:00,대구·경상북도,(1) 대설주의보 해제 : 2023년 01월 15일 15시 00분,(1) 대설주의보 해제 : 경상북도(영주. 봉화평지),
2023-01-16 0:00,대구·경상북도,(1) 대설주의보 해제 : 2023년 01월 16일 00시 00분,(1) 대설주의보 해제 : 경상북도(경북북동산지),
2023-01-16 4:00,부산·울산·경상남도,(1) 풍랑주의보 해제 : 2023년 01월 16일 06시 00분,(1) 풍랑주의보 해제 : 남해동부앞바다(부산앞바다. 거제시동부앞바다),
2023-01-16 5:00,대구·경상북도,(1) 대설주의보 발표 : 2023년 01월 16일 05시 00분,(1) 대설주의보 발표 : 울릉도.독도,
2023-01-16 9:00,부산·울산·경상남도,(1) 풍랑주의보 해제 : 2023년 01월 16일 10시 00분,(1) 풍랑주의보 해제 : 동해남부앞바다(울산앞바다),
2023-01-16 11:00,대구·경상북도,(1) 풍랑주의보 해제 : 2023년 01월 16일 12시 00분 / (2) 한파주의보 발표 : 2023년 01월 16일 21시 00분,(1) 풍랑주의보 해제 : 동해남부앞바다(경북남부앞바다. 경북북부앞바다) / (2) 한파주의보 발표 : 경상북도(의성. 청송. 영양평지. 봉화평지. 경북북동산지),
2023-01-16 13:00,부산·울산·경상남도,(1) 풍랑주의보 해제 : 2023년 01월 16일 15시 00분,(1) 풍랑주의보 해제 : 남해동부안쪽먼바다,
2023-01-16 13:00,대구·경상북도,(1) 풍랑주의보 해제 : 2023년 01월 16일 16시 00분,(1) 풍랑주의보 해제 : 동해남부북쪽안쪽먼바다. 동해남부북쪽바깥먼바다,
2023-01-16 23:30,대구·경상북도,(1) 대설주의보 해제 : 2023년 01월 16일 23시 30분,(1) 대설주의보 해제 : 울릉도.독도,
2023-01-17 4:00,부산·울산·경상남도,(1) 풍랑주의보 해제 : 2023년 01월 17일 05시 00분,(1) 풍랑주의보 해제 : 동해남부남쪽안쪽먼바다. 동해남부남쪽바깥먼바다. 남해동부바깥먼바다,
2023-01-17 10:00,대구·경상북도,(1) 한파주의보 해제 : 2023년 01월 17일 10시 00분,(1) 한파주의보 해제 : 경상북도(의성. 청송. 영양평지. 봉화평지. 경북북동산지),
2023-01-20 3:00,대구·경상북도,(1) 강풍주의보 발표 : 2023년 01월 20일 05시 00분 / (2) 풍랑주의보 발표 : 2023년 01월 20일 05시 00분,(1) 강풍주의보 발표 : 울릉도.독도 / (2) 풍랑주의보 발표 : 동해남부북쪽바깥먼바다,(1) 강풍주의보 발표 /   o 해제 예고: 20일 밤(21시~24시) / (2) 풍랑주의보 발표 /   o 해제 예고: 21일 오전(09시~12시)
2023-01-20 5:00,대구·경상북도,(1) 풍랑주의보 발표 : 2023년 01월 20일 07시 00분,(1) 풍랑주의보 발표 : 동해남부북쪽안쪽먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 21일 새벽(03시~06시)
2023-01-20 7:00,부산·울산·경상남도,(1) 풍랑주의보 발표 : 2023년 01월 20일 09시 00분,(1) 풍랑주의보 발표 : 동해남부남쪽안쪽먼바다. 동해남부남쪽바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 20일 밤(21시~24시)
2023-01-20 9:00,부산·울산·경상남도,(1) 풍랑주의보 발표 : 2023년 01월 20일 11시 00분,(1) 풍랑주의보 발표 : 남해동부안쪽먼바다. 남해동부바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 21일 새벽(00시~03시)
2023-01-20 9:00,대구·경상북도,(1) 강풍경보 변경 : 2023년 01월 20일 09시 00분 / (2) 풍랑경보 변경 : 2023년 01월 20일 09시 00분,(1) 강풍경보 변경 : 울릉도.독도 / (2) 풍랑경보 변경 : 동해남부북쪽바깥먼바다,(1) 강풍경보 변경 /   o 해제 예고: 20일 밤(21시~24시) / (2) 풍랑경보 변경 /   o 해제 예고: 21일 오전(09시~12시)
2023-01-20 9:20,대구·경상북도,(1) 강풍주의보 발표 : 2023년 01월 20일 09시 20분,(1) 강풍주의보 발표 : 경상북도(영주. 울진평지. 경북북동산지),(1) 강풍주의보 발표 /   o 해제 예고: 20일 저녁(18시~21시)
2023-01-20 10:00,부산·울산·경상남도,(1) 건조주의보 발표 : 2023년 01월 20일 10시 00분 / (2) 한파주의보 발표 : 2023년 01월 20일 18시 00분,(1) 건조주의보 발표 : 경상남도(창원. 김해). 부산. 울산 / (2) 한파주의보 발표 : 경상남도(함양. 거창. 합천),
2023-01-20 10:00,대구·경상북도,(1) 건조주의보 발표 : 2023년 01월 20일 10시 00분 / (2) 한파경보 발표 : 2023년 01월 20일 18시 00분 / (3) 한파주의보 발표 : 2023년 01월 20일 18시 00분,(1) 건조주의보 발표 : 경상북도(경산. 상주. 문경. 영덕. 울진평지. 포항. 경주. 경북북동산지). 대구 / (2) 한파경보 발표 : 경상북도(경북북동산지) / (3) 한파주의보 발표 : 경상북도(구미. 군위. 고령. 성주. 칠곡. 김천. 상주. 문경. 예천. 안동. 영주. 의성. 청송. 영양평지. 봉화평지. 울진평지),
2023-01-20 11:00,대구·경상북도,(1) 강풍주의보 발표 : 2023년 01월 20일 11시 00분 / (2) 풍랑주의보 발표 : 2023년 01월 20일 12시 00분 / (3) 풍랑경보 변경 : 2023년 01월 20일 12시 00분,(1) 강풍주의보 발표 : 경상북도(영덕. 포항. 경주) / (2) 풍랑주의보 발표 : 동해남부앞바다(경북남부앞바다. 경북북부앞바다) / (3) 풍랑경보 변경 : 동해남부북쪽안쪽먼바다,(1) 강풍주의보 발표 /   o 해제 예고: 20일 저녁(18시~21시) / (2) 풍랑주의보 발표 /   o 해제 예고: 20일 밤(21시~24시) / (3) 풍랑경보 변경 /   o 해제 예고: 21일 새벽(03시~06시)
2023-01-20 16:00,대구·경상북도,(1) 강풍주의보 해제 : 2023년 01월 20일 18시 00분 / (2) 풍랑주의보 해제 : 2023년 01월 20일 18시 00분 / (3) 풍랑주의보 변경 : 2023년 01월 20일 18시 00분,(1) 강풍주의보 해제 : 경상북도(영주. 영덕. 울진평지. 포항. 경주. 경북북동산지) / (2) 풍랑주의보 해제 : 동해남부앞바다(경북남부앞바다. 경북북부앞바다) / (3) 풍랑주의보 변경 : 동해남부북쪽안쪽먼바다,(3) 풍랑주의보 변경 /   o 해제 예고: 21일 새벽(03시~06시)
2023-01-20 18:00,대구·경상북도,(1) 강풍주의보 변경 : 2023년 01월 20일 18시 00분,(1) 강풍주의보 변경 : 울릉도.독도,(1) 강풍주의보 변경 /   o 해제 예고: 20일 밤(21시~24시)
2023-01-20 20:00,부산·울산·경상남도,(1) 풍랑주의보 해제 : 2023년 01월 20일 21시 00분,(1) 풍랑주의보 해제 : 동해남부남쪽안쪽먼바다. 동해남부남쪽바깥먼바다. 남해동부안쪽먼바다. 남해동부바깥먼바다,
2023-01-20 20:00,대구·경상북도,(1) 강풍주의보 해제 : 2023년 01월 20일 21시 00분,(1) 강풍주의보 해제 : 울릉도.독도,
2023-01-21 4:00,대구·경상북도,(1) 풍랑주의보 변경 : 2023년 01월 21일 04시 00분,(1) 풍랑주의보 변경 : 동해남부북쪽바깥먼바다,(1) 풍랑주의보 변경 /   o 해제 예고: 21일 오전(09시~12시)
2023-01-21 6:00,대구·경상북도,(1) 풍랑주의보 해제 : 2023년 01월 21일 09시 00분,(1) 풍랑주의보 해제 : 동해남부북쪽안쪽먼바다,
2023-01-21 10:00,부산·울산·경상남도,(1) 한파주의보 해제 : 2023년 01월 21일 10시 00분,(1) 한파주의보 해제 : 경상남도(함양. 거창. 합천),
2023-01-21 10:00,대구·경상북도,(1) 한파주의보 해제 : 2023년 01월 21일 10시 00분 / (2) 한파주의보 변경 : 2023년 01월 21일 10시 00분,(1) 한파주의보 해제 : 경상북도(구미. 군위. 고령. 성주. 칠곡. 김천. 상주. 문경. 예천. 안동. 영주. 의성. 청송. 영양평지. 봉화평지. 울진평지) / (2) 한파주의보 변경 : 경상북도(경북북동산지),
2023-01-21 12:00,대구·경상북도,(1) 풍랑주의보 해제 : 2023년 01월 21일 15시 00분,(1) 풍랑주의보 해제 : 동해남부북쪽바깥먼바다,
2023-01-22 10:00,대구·경상북도,(1) 한파주의보 해제 : 2023년 01월 22일 10시 00분,(1) 한파주의보 해제 : 경상북도(경북북동산지),
2023-01-22 18:00,부산·울산·경상남도,(1) 풍랑주의보 발표 : 2023년 01월 22일 21시 00분,(1) 풍랑주의보 발표 : 남해동부바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 25일 밤(21시~24시)
2023-01-23 10:00,부산·울산·경상남도,(1) 한파주의보 발표 : 2023년 01월 23일 21시 00분,(1) 한파주의보 발표 : 경상남도. 부산. 울산,
2023-01-23 10:00,대구·경상북도,(1) 한파경보 발표 : 2023년 01월 23일 21시 00분 / (2) 한파주의보 발표 : 2023년 01월 23일 21시 00분,(1) 한파경보 발표 : 경상북도(군위. 칠곡. 김천. 상주. 문경. 예천. 안동. 영주. 의성. 청송. 영양평지. 봉화평지. 경북북동산지) / (2) 한파주의보 발표 : 경상북도(구미. 영천. 경산. 청도. 고령. 성주. 영덕. 울진평지. 포항. 경주). 대구. 울릉도.독도,
2023-01-23 18:00,대구·경상북도,(1) 강풍주의보 발표 : 2023년 01월 23일 19시 00분,(1) 강풍주의보 발표 : 울릉도.독도,(1) 강풍주의보 발표 /   o 해제 예고: 26일 늦은 오후(15시~18시)
2023-01-23 20:00,부산·울산·경상남도,(1) 풍랑주의보 발표 : 2023년 01월 23일 23시 00분 / (2) 풍랑주의보 발표 : 2023년 01월 23일 23시 00분 / (3) 풍랑주의보 발표 : 2023년 01월 23일 23시 00분,(1) 풍랑주의보 발표 : 남해동부안쪽먼바다 / (2) 풍랑주의보 발표 : 동해남부남쪽안쪽먼바다 / (3) 풍랑주의보 발표 : 동해남부남쪽바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 25일 늦은 오후(15시~18시) / (2) 풍랑주의보 발표 /   o 해제 예고: 26일 오전(09시~12시) / (3) 풍랑주의보 발표 /   o 해제 예고: 26일 늦은 오후(15시~18시)
2023-01-23 20:00,대구·경상북도,(1) 풍랑주의보 발표 : 2023년 01월 23일 23시 00분 / (2) 풍랑주의보 발표 : 2023년 01월 23일 23시 00분,(1) 풍랑주의보 발표 : 동해남부북쪽안쪽먼바다 / (2) 풍랑주의보 발표 : 동해남부북쪽바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 26일 오전(09시~12시) / (2) 풍랑주의보 발표 /   o 해제 예고: 26일 늦은 오후(15시~18시)
2023-01-23 21:00,대구·경상북도,(1) 대설주의보 발표 : 2023년 01월 23일 23시 00분,(1) 대설주의보 발표 : 울릉도.독도,
2023-01-23 22:00,부산·울산·경상남도,(1) 강풍주의보 발표 : 2023년 01월 23일 23시 00분,(1) 강풍주의보 발표 : 경상남도(통영. 거제. 남해). 부산. 울산,(1) 강풍주의보 발표 /   o 해제 예고: 25일 오전(09시~12시)
2023-01-23 22:00,대구·경상북도,(1) 강풍주의보 발표 : 2023년 01월 23일 23시 00분,(1) 강풍주의보 발표 : 경상북도(영주. 영덕. 울진평지. 포항. 경주. 경북북동산지),(1) 강풍주의보 발표 /   o 해제 예고: 25일 늦은 오후(15시~18시)
2023-01-24 0:00,부산·울산·경상남도,(1) 풍랑주의보 발표 : 2023년 01월 24일 03시 00분 / (2) 풍랑주의보 발표 : 2023년 01월 24일 03시 00분,(1) 풍랑주의보 발표 : 남해동부앞바다(부산앞바다. 경남서부남해앞바다. 거제시동부앞바다) / (2) 풍랑주의보 발표 : 동해남부앞바다(울산앞바다),(1) 풍랑주의보 발표 /   o 해제 예고: 25일 오전(09시~12시) / (2) 풍랑주의보 발표 /   o 해제 예고: 25일 늦은 오후(15시~18시)
2023-01-24 0:00,대구·경상북도,(1) 풍랑주의보 발표 : 2023년 01월 24일 02시 00분,(1) 풍랑주의보 발표 : 동해남부앞바다(경북남부앞바다. 경북북부앞바다),(1) 풍랑주의보 발표 /   o 해제 예고: 25일 늦은 오후(15시~18시)
2023-01-24 1:00,대구·경상북도,(1) 강풍경보 변경 : 2023년 01월 24일 01시 00분,(1) 강풍경보 변경 : 울릉도.독도,(1) 강풍경보 변경 /   o 해제 예고: 26일 늦은 오후(15시~18시)
2023-01-24 2:00,대구·경상북도,(1) 풍랑경보 변경 : 2023년 01월 24일 03시 00분 / (2) 풍랑경보 변경 : 2023년 01월 24일 03시 00분,(1) 풍랑경보 변경 : 동해남부북쪽안쪽먼바다 / (2) 풍랑경보 변경 : 동해남부북쪽바깥먼바다,(1) 풍랑경보 변경 /   o 해제 예고: 26일 오전(09시~12시) / (2) 풍랑경보 변경 /   o 해제 예고: 26일 늦은 오후(15시~18시)
