DTL_ADRES,USE_SE_CD,LO,VT_ACMDFCLTY_NM,RN_DTL_ADRES,ACMD_BULD_MNG_NO,BDONG_CD,ARCD,HDONG_CD,FCLTY_AR,LA,ACMDFCLTY_SN,EQK_ACMDFCLTY_ADRES,TELNO,VT_ACMD_PSBL_NMPR
191-5,1,126.6558516,송명초등학교,인천광역시 연수구 송도교육로 19(송도동),,2818510600,2818500000,2818584000,2933,37.37401108,33,인천광역시 연수구 송도동 191-5,032-930-7500,3555
,1,126.5467179,서산고등학교 운동장,충청남도 서산시 해미면 서문3길 37,,4421039021,4421000000,4421039000,15051,36.71516352,40,충청남도 서산시 해미면 읍내리 426,041-689-0714,18244
332-0,1,126.8207431,정일초등학교 운동장,전북특별자치도 정읍시 정문들목길 26-19 (용계동),,5218012400,5218000000,5218058000,3082,35.58993487,78,전북특별자치도 정읍시 용계동 332,063-539-5963,3735
925-0,1,128.6164792,태봉공원,,,2723013100,2723000000,2723069000,2292,35.94627157,148,대구광역시 북구 연경동 925,053-665-4355,2778
1707-2,1,126.9644693,봉천어린이공원,,,1162010100,1162000000,1162051000,651,37.46926164,126,서울특별시 관악구 봉천동 1707-2,02-879-4446,789
746-32,1,126.9133759,대협어린이공원,,,1162010200,1162000000,1162064000,391,37.47483254,131,서울특별시 관악구 신림동 746-32,02-879-4596,474
148-103,1,126.9623955,장미어린이공원,,,1162010100,1162000000,1162051000,423,37.47912638,120,서울특별시 관악구 봉천동 148-103,02-879-4362,513
1676-0,1,128.4715342,세천1호공원,,,2771025626,2771000000,2771025600,15690,35.87677784,72,대구광역시 달성군 다사읍 세천리 1676,053-668-2995,19018
1067-6,1,126.7162475,재미한창공원,,,2826011500,2826000000,2826062000,1764,37.59177164,158,인천광역시 서구 원당동 1067-6,032-560-4704,2138
,1,128.9139175,초당초등학교,,,5115011200,5115000000,5115058000,1264,37.78157361,23,강원특별자치도 강릉시 초당동 산 16,033-640-5284,486
,1,129.0072747,감천문화마을 노외공영주차장,,,2638010800,2638000000,2638062000,615,35.09148085,103,부산광역시 사하구 감천동 17-46,051-220-4511,745
410-1,1,127.073831,청암중고등학교,서울특별시 노원구 중계로 244(중계동),,1135010600,1135000000,1135062100,1280,37.65131058,113,서울특별시 노원구 중계동 410-1,02-930-6511,1552
,1,127.1613139,고덕중학교 운동장,서울특별시 강동구 동남로82길 94(고덕동),,1174010200,1174000000,1174056000,4000,37.56019819,120,서울특별시 강동구 고덕동 223,02-2045-6006,4848
,1,128.8364553,사북초등학교,강원특별자치도 정선군 사북읍 소금강로 3561,,5177025622,5177000000,5177025600,3800,37.22848748,6,강원특별자치도 정선군 사북읍 사북리 268-1,033-592-5524,334
,1,128.6489233,정선정보공업고등학교,강원특별자치도 정선군 정선읍 용담샛길 2,,5177025022,5177000000,5177025000,17470,37.38020504,4,강원특별자치도 정선군 정선읍 북실리 762-4,033-560-9413,1290
,1,128.8531065,고한초등학교,강원특별자치도 정선군 고한읍 고한4길 11,,5177025321,5177000000,5177025300,4000,37.20288947,5,강원특별자치도 정선군 고한읍 고한리 74,033-804-7510,1210
,1,128.8482088,임계초등학교,강원특별자치도 정선군 임계면 송계1길 7,,5177035025,5177000000,5177035000,3300,37.49606926,14,강원특별자치도 정선군 임계면 송계리 746-2,033-562-6165,317
,1,126.7777285,시흥도원초등학교 운동장,경기도 시흥시 수인로3413번길 34(신천동),,4139010200,4139000000,4139052000,3525,37.43976535,39,경기도 시흥시 신천동 438-1,031-310-3986,4273
,1,128.6744875,함백중고등학교,강원특별자치도 정선군 신동읍 함백로 376,,5177025923,5177000000,5177026000,4200,37.21566393,8,강원특별자치도 정선군 신동읍 조동리 185,033-370-0191,447
,1,127.0108607,매산초등학교,경기도 수원시 팔달구 향교로 93(매산로3가),,4111513600,4111000000,4111566000,8885,37.27166229,139,경기도 수원시 팔달구 매산로3가 13,031-228-2933,10770
,1,127.0360869,팔달초등학교,경기도 수원시 팔달구 권광로367번길 22(우만동),,4111514000,4111000000,4111572000,3038,37.27953792,141,경기도 수원시 팔달구 우만동 601,031-228-2933,3682
,1,126.9824266,이목중학교,경기도 수원시 장안구 장안로 426(이목동),,4111113100,4111000000,4111156000,3773,37.31812301,144,경기도 수원시 장안구 이목동 241,031-228-2933,4573
,1,127.0098549,세류초등학교,경기도 수원시 권선구 세류로 78(세류동),,4111312600,4111000000,4111352000,4757,37.26609976,147,경기도 수원시 권선구 세류동 63,031-228-2933,5766
,1,126.9160795,신길중학교 운동장,서울특별시 영등포구 신길로28길 43(신길동),,1156013200,1156000000,1156069000,1200,37.50189138,88,서울특별시 영등포구 신길동 4948,02-2670-3065,1454
,1,126.7841014,영원초등학교,전북특별자치도 정읍시 영원면 영원로 1087,,5218035021,5218000000,5218035000,5826,35.65531084,73,전북특별자치도 정읍시 영원면 은선리 713-2,063-536-7011,1765
,1,126.9004596,옥계어린이공원,서울특별시 금천구 시흥대로86길 20(독산동),,1154510200,1154500000,1154562000,1058,37.46009891,77,서울특별시 금천구 독산동 1067-9,02-2627-2946,1282
,1,126.9013993,중앙어린이공원,"서울특별시 금천구 시흥대로 165(시흥동, 남서울힐스테이트)",,1154510300,1154500000,1154567000,1515,37.44715861,80,서울특별시 금천구 시흥동 1026,02-2627-2946,1836
,1,129.0874992,동천고등학교 운동장,부산광역시 남구 못골번영로 105(대연동),,2629010600,2629000000,2629055000,4848,35.14438212,63,부산광역시 남구 대연동 1676-1,051-628-1304,5876
,1,129.1162257,오륙도초등학교 운동장,부산광역시 남구 오륙도로 57(용호동),,2629010700,2629000000,2629058000,3330,35.10375039,65,부산광역시 남구 용호동 946,051-610-6885,4036
,1,127.3894358,중일고등학교 운동장,대전광역시 유성구 배울2로 68(관평동),,3020014600,3020000000,3020060000,4950,36.42030689,78,대전광역시 유성구 관평동 671,042-939-2522,6000
,1,127.0395765,일신어린이공원,,,1129013500,1129000000,1129069000,942,37.60000107,72,서울특별시 성북구 종암동 134-8,02-2241-3682,1141
,1,126.9937322,성북동길 공영주차,,,1129010100,1129000000,1129051000,1269,37.59484756,74,서울특별시 성북구 성북동 230-20,02-2241-3485,1538
,1,126.9894701,성북동 우리마을 공동 제9호 주차장,,,1129010100,1129000000,1129051000,991,37.59535974,75,서울특별시 성북구 성북동 348-19,02-2241-3484,1201
,1,127.2526538,새롬뜰근린공원,,,3611010800,3611000000,3611051000,12963,36.48943758,138,세종특별자치시 세종시 새롬동 559,044-301-3633,15712
,1,126.9314057,오산 영만초등학교 운동장,전북특별자치도 익산시 오산면 선화로4길 42-9 ,,5214031022,5214000000,5214031000,1658,35.94739538,125,전북특별자치도 익산시 오산면 장신리 1129,063-859-5964,2010
884-0,1,129.0688996,동면초등학교 운동장,,,4833031025,4833000000,4833031000,2013,35.32043327,123,경상남도 양산시 동면 내송리 884,055-392-2843,2440
340-3,1,129.0734302,사송초등학교 운동장,,,4833031024,4833000000,4833031000,2842,35.31251247,125,경상남도 양산시 동면 사송리 340-3,055-392-2843,3444
90-0,1,127.0408988,북서울꿈의숲,서울특별시 강북구 월계로 173(번동),,1130510200,1130500000,1130560800,684157,37.62155695,81,서울특별시 강북구 번동 90,222894000,829281
,1,126.5144455,미단시티8호근린공원,인천광역시 중구 영종순환로 620(운북동),,2811014800,2811000000,2811062000,65176,37.52913611,88,인천광역시 중구 운북동 1265-5,032-760-7778,78887
95-0,1,128.9932897,물금동아중학교 운동장,경상남도 양산시 물금읍 청운로 46,,4833025321,4833000000,4833025300,3800,35.30779437,128,경상남도 양산시 물금읍 물금리 95,055-392-2843,4606
1301-25,1,127.0211945,누리숲어린이공원,,,1165010800,1165000000,1165051000,2233,37.50205117,80,서울특별시 서초구 서초동 1301-25,02-2155-7112,2706
Jun-71,1,127.0003306,서래상상어린이공원,,,1165010700,1165000000,1165054000,997,37.49828857,87,서울특별시 서초구 반포동 71-6,02-2155-7112,1208
424-29,1,126.9851314,햇님어린이공원,,,1165010100,1165000000,1165053000,2119,37.48295602,89,서울특별시 서초구 방배동 424-29,02-2155-7112,2568
974-22,1,126.990389,이수중학교 운동장,서울특별시 서초구 방배중앙로3길 32(방배동),,1165010100,1165000000,1165061000,4033,37.48081589,90,서울특별시 서초구 방배동 974-22,02-2155-7112,4888
645-0,1,126.9972454,서울특별시교육청 교육연수원,서울특별시 서초구 남부순환로 2248(방배동),,1165010100,1165000000,1165062000,2500,37.47166358,91,서울특별시 서초구 방배동 645,02-2155-7112,3000
296-0,1,127.0533191,청계산수변공원,,,1165011100,1165000000,1165066000,58346,37.45193133,93,서울특별시 서초구 신원동 296,02-2155-7112,70722
348-0,1,126.8303561,정일중학교 운동장,전북특별자치도 정읍시 충정로 511(공평동),,5218012500,5218000000,5218058000,3564,35.58160232,77,전북특별자치도 정읍시 공평동 348,063-539-5963,4320
520-0,1,126.8133187,배영고등학교 운동장,전북특별자치도 정읍시 동학로 243(흑암동),,5218012300,5218000000,5218058000,13665,35.60121514,79,전북특별자치도 정읍시 흑암동 520,063-539-5963,16563
01월 14일,1,126.8495554,정읍북초등학교 운동장,전북특별자치도 정읍시 명덕1길 41(농소동),,5218010600,5218000000,5218057000,3580,35.57930745,80,전북특별자치도 정읍시 농소동 14-1,063-539-5963,4339
Jan-43,1,129.0330332,용두산 공영주차장,부산광역시 중구 대청로116번길 3(대청동1가),,2611011600,2611000000,2611053000,2400,35.1024041,16,부산광역시 중구 대청동1가 43-1,051-600-4649,2909
1051-0,1,128.6232664,연경공원,대구광역시 북구 동화천로55길 25(연경동),,2723013100,2723000000,2723069500,24541.4,35.94356399,146,대구광역시 북구 연경동 1051,053-665-4355,29747
1046-0,1,128.6203989,화암공원,,,2723013100,2723000000,2723069000,2387,35.94356004,147,대구광역시 북구 연경동 1046,053-665-4355,2894
772-0,1,128.5093177,장기터공원,,,2723013000,2723000000,2723071500,1500,35.89900712,150,대구광역시 북구 사수동 772,053-665-4355,1819
999-1,1,128.5523208,관천중학교 운동장,대구광역시 북구 구암로22길 7(태전동),,2723012600,2723000000,2723073500,2400,35.93093584,153,대구광역시 북구 태전동 999-1,053-665-4355,1980
54-0,1,128.5660458,서항공원,경상남도 창원시 마산합포구 드림베이대로 52(해운동),,4812515800,4812000000,4812553000,120000,35.17650061,109,경상남도 창원시 마산합포구 해운동 54,055-220-4629,100000
491-1,1,127.0969462,면중초등학교운동장,서울특별시 중랑구 용마산로70길 43(면목동),,1126010100,1126000000,1126057500,1751,37.58209932,86,서울특별시 중랑구 면목동 491-1,02-2094-0025,2000
1131-0,1,127.2036016,용인이동초등학교 운동장,경기도 용인시 처인구 이동읍 백옥대로587번길 22,,4146125628,4146000000,4146125600,3483,37.19063848,153,경기도 용인시 처인구 이동읍 천리 1131,031-323-3217,1055
1734-0,1,126.9411474,e편한세상어린이공원,,,1162010100,1162000000,1162051000,3114,37.47716977,121,서울특별시 관악구 봉천동 1734,02-879-4384,3775
196-240,1,126.962581,인헌어린이공원,,,1162010100,1162000000,1162051000,469,37.47539876,127,서울특별시 관악구 봉천동 196-240,02-879-4446,568
1418-1,1,126.9327092,색동어린이공원,서울특별시 관악구 신림로70길 74(신림동),,1162010200,1162000000,1162069500,952,37.4864541,128,서울특별시 관악구 신림동 1418-1,02-879-4504,1154
1563-56,1,126.9152749,난곡어린이공원,,,1162010200,1162000000,1162064000,632,37.47411731,129,서울특별시 관악구 신림동 1563-56,02-879-4596,766
1482-1,1,126.914084,난우어린이공원,서울특별시 관악구 난곡로61길 1(신림동),,1162010200,1162000000,1162076500,470,37.48023275,130,서울특별시 관악구 신림동 1482-1,02-879-4596,570
709-1,1,129.304086,자명2리 마을회관 주변,경상북도 포항시 남구 연일읍 자명로145번길 4,,4711125326,4711000000,4711125300,200,36.01153562,465,경상북도 포항시 남구 연일읍 자명리 709-1,054-270-5664,242
140-3,1,127.0215225,범바위 어린이 공원,서울특별시 성북구 고려대로8길 7-2 (안암동2가),,1129012200,1129000000,1129060000,1263,37.58538967,76,서울특별시 성북구 안암동2가 140-3,02-2241-3689,1530
1276-0,1,126.7115042,아라센트럴파크,,,2826011400,2826000000,2826062000,55690,37.58809725,153,인천광역시 서구 당하동 1276,032-560-4704,67503
1282-12,1,126.7149035,가람풍경공원,,,2826011400,2826000000,2826062000,2912,37.58426336,155,인천광역시 서구 당하동 1282-12,032-560-4704,3530
1094-1,1,126.7175087,동글동글나이테공원,,,2826011500,2826000000,2826062000,2283,37.58756229,157,인천광역시 서구 원당동 1094-1,,2767
1020-4,1,126.7063656,웃목어린이공원,,,2826011500,2826000000,2826062000,4699,37.5966396,159,인천광역시 서구 원당동 1020-4,032-560-4704,5695
716-1,1,127.0264434,용두희망어린이공원,,,1123010200,1123000000,1123051000,529,37.58007775,75,서울특별시 동대문구 용두동 716-1,02-2127-4398,6417
937-0,1,128.6160013,연경초등학교 운동장,대구광역시 북구 연경중앙로11길 19(연경동),,2723013100,2723000000,2723069500,1350,35.94534772,151,대구광역시 북구 연경동 937,053-665-4355,1636
1001-0,1,126.7150278,아랫목어린이공원,,,2826011500,2826000000,2826062000,2160,37.60258097,160,인천광역시 서구 원당동 1001,032-560-4704,2618
161-1,1,126.6719878,박문중학교,인천광역시 연수구 송도과학로51번길 102(송도동),,2818510600,2818500000,2818584000,2317,37.38520928,31,인천광역시 연수구 송도동 161-1,032-890-1965,2808
162-2,1,126.6692466,송원초등학교,인천광역시 연수구 송도과학로51번길 60(송도동),,2818510600,2818500000,2818584000,3754,37.38605323,32,인천광역시 연수구 송도동 162-2,032-830-7300,4550
693-0,1,127.2149098,화지다목적구장,강원특별자치도 철원군 철원읍 금학로330번길 12,,5178025021,5178000000,5178025000,4242,38.21674734,9,강원특별자치도 철원군 철원읍 화지리 693,033-450-5483,4990
1245-1,1,129.0750617,용연초등학교 운동장,경상남도 양산시 하북면 용연로 110,,4833034026,4833000000,4833034000,3500,35.44921699,126,경상남도 양산시 하북면 백록리 1245-1,055-392-2843,4242
110-57,1,127.0564449,장석 어린이 공원,서울특별시 성북구 장위로48길 29(장위동),,1129013800,1129000000,1129078000,5541,37.61429091,77,서울특별시 성북구 장위동 110-57,02-2241-3682,6716
712-0,1,128.6832439,탑리여자중학교,경상북도 의성군 금성면 탑리4길 25-6 ,,4773037036,4773000000,4773037000,2480,36.25548261,102,경상북도 의성군 금성면 탑리리 712,054-830-6593,2046
520-3,1,127.0024525,서울지방조달청 테니스장,서울특별시 서초구 반포대로 217(반포동),,1165010700,1165000000,1165058100,1184,37.49930054,84,서울특별시 서초구 반포동 520-3,02-2155-7112,1435
1555-1,1,126.9341737,사우촌어린이공원,,,1162010200,1162000000,1162064000,339,37.46756283,139,서울특별시 관악구 신림동 1555-1,02-879-4813,411
1542-1,1,126.9364858,태양어린이공원,,,1162010200,1162000000,1162064000,345,37.46849739,140,서울특별시 관악구 신림동 1542-1,02-879-4813,418
645-1,1,126.9235656,무궁화어린이공원,,,1162010200,1162000000,1162064000,660,37.46968101,136,서울특별시 관악구 신림동 645-1,02-879-4629,800
555-5,1,128.6076093,상동제1소공원,,,2726010900,2726000000,2726062000,1270,35.83256668,152,대구광역시 수성구 상동 555-5,053-666-2850,1539
160-3,1,127.0084487,누에소공원,,,1165010600,1165000000,1165054000,1720,37.50923036,83,서울특별시 서초구 잠원동 160-3,02-2155-7112,2084
,1,127.097521,동삭초등학교 운동장,경기도 평택시 동삭로 370(동삭동),,4122011900,4122000000,4122062000,3400,37.018609,6,경기도 평택시 동삭동 332-10,031-618-9674,4121
,1,127.059331,부용초등학교 운동장,경기도 평택시 팽성읍 동서촌로 65,,4122025021,4122000000,4122025000,7200,36.965084,9,경기도 평택시 팽성읍 객사리 160-1,031-691-5946,8727
,1,127.093481,비전초등학교 운동장,경기도 평택시 비전1로57번길 63(비전동),,4122011800,4122000000,4122062000,4700,37.001104,10,경기도 평택시 비전동 428-5,031-651-0408,5696
,1,126.978951,오성초등학교 운동장,경기도 평택시 오성면 숙성시장길 15,,4122034026,4122000000,4122034000,5400,37.007917,17,경기도 평택시 오성면 죽리 70,031-611-1924,6545
,1,127.090038,진위초등학교 운동장,경기도 평택시 진위면 봉남길 49,,4122031021,4122000000,4122031000,4500,37.100502,24,경기도 평택시 진위면 봉남리 233,031-662-8504,5454
,1,127.0224461,성동고등학교 운동장,서울특별시 중구 퇴계로90길 17(신당동),,1114016200,1114000000,1114065000,3670,37.56378233,10,서울특별시 중구 신당동 161,070-4377-7808,4448
,1,126.7828272,신천초등학교 운동장,경기도 시흥시 포도원로 88(신천동),,4139010200,4139000000,4139052000,3500,37.43495625,22,경기도 시흥시 신천동 203,031-310-3986,4242
,1,127.4006543,대전 대문초등학교 운동장,대전광역시 중구 송리로 11(문화동),,3014011600,3014000000,3014073000,8616,36.30689083,8,대전광역시 중구 문화동 583-1,042-582-0713,10444
,1,127.3873348,버드내 조폐공원,"대전광역시 중구 유등천동로 428(태평동, 파라곤아파트)",,3014011400,3014000000,3014069000,26836,36.32087533,11,대전광역시 중구 태평동 421-5,042-606-6603,32528
,1,127.3854182,대전 산성초등학교 운동장,대전광역시 중구 대둔산로 332(사정동),,3014011800,3014000000,3014074000,2925,36.29906535,9,대전광역시 중구 사정동 416-1,042-581-2380,3545
,1,127.408511,대전 목동초등학교 운동장,대전광역시 중구 목중로19번길 70(목동),,3014010300,3014000000,3014055000,10615,36.33448828,2,대전광역시 중구 목동 26-1,042-253-4040,12867
,1,127.4484107,대전 옥계초등학교 운동장,대전광역시 중구 모암로 35(옥계동),,3014010900,3014000000,3014062000,8552,36.30136543,4,대전광역시 중구 옥계동 65,042-272-2666,10366
,1,127.4116064,서대전시민공원,대전광역시 중구 계백로1716번길 23(문화동),,3014011600,3014000000,3014072000,31513,36.32094669,10,대전광역시 중구 문화동 1-39,042-606-6603,38198
,1,127.4487019,한국도로공사 대전지사 공터,대전광역시 대덕구 동서대로 1855(송촌동),,3023010700,3023000000,3023054300,4500,36.36277044,38,대전광역시 대덕구 송촌동 579-1,042-722-6310,5455
,1,128.6858359,평은다목적광장,,,4721032027,4721000000,4721032000,3400,36.75801177,49,경상북도 영주시 평은면 평은리 678,054-639-7473,1200
,1,127.4440455,대전송촌초등학교 운동장,대전광역시 대덕구 동춘당로54번길 35(송촌동),,3023010700,3023000000,3023054300,1200,36.36445084,20,대전광역시 대덕구 송촌동 495-9,042-621-9041,1455
,1,126.6445719,송도고등학교,,,2818510100,2818500000,2818562000,5700,37.42890006,23,인천광역시 연수구 옥련동 175,032-627-4080,6909
,1,126.6633473,푸른송도배수지,인천광역시 연수구 능허대로446번길 24(동춘동),,2818510500,2818500000,2818578000,29054,37.40071858,26,인천광역시 연수구 동춘동 559-22,032-749-8863,35216
,1,126.6740916,동막초등학교,인천광역시 연수구 원인재로 36(동춘동),,2818510500,2818500000,2818579000,3835,37.40279627,27,인천광역시 연수구 동춘동 928-1,032-814-2149,4648
,1,129.1634928,근덕초등학교 노곡분교 ,강원특별자치도 삼척시 노곡면 노곡로 13-27 ,,5123033027,5123000000,5123033000,1600,37.34804028,19,강원특별자치도 삼척시 노곡면 하월산리 162-3,033-570-4884,1939
,1,126.7461616,전라남도인재개발원,전라남도 강진군 도암면 다산인재길 10,,4681034026,4681000000,4681034000,396,34.57573915,23,전라남도 강진군 도암면 만덕리 368,,152
,1,126.6414819,해양과학고등학교,인천광역시 연수구 능허대로 71(옥련동),,2818510100,2818500000,2818564000,8585,37.42570023,21,인천광역시 연수구 옥련동 194-86,032-832-4654,10406
896-15,1,126.7260504,진주2호공영주차장,,,2820010300,2820000000,2820056000,324,37.45898514,79,인천광역시 남동구 만수동 896-15,032-453-2335,392
1005-1,1,126.7391664,새골어린이공원,"인천광역시 남동구 담방로 105(만수동, 만수주공7,8단지아파트)",,2820010300,2820000000,2820056000,4000,37.45009772,89,인천광역시 남동구 만수동 1005-1,032-453-2335,4848
,1,126.7266078,동부초교1호어린이공원,,,2820010300,2820000000,2820056000,134,37.46221054,91,인천광역시 남동구 만수동 111-185,032-453-2335,162
,1,127.0812178,어린이대공원,서울특별시 광진구 능동로 216(능동),,1121510200,1121500000,1121578000,225000,37.54908572,46,서울특별시 광진구 능동 18,02-2049-1577,272000
,1,126.6021162,대부동 복지체육센터 운동장 ,경기도 안산시 단원구 영전로 126(대부동동),,4127311000,4127000000,4127361000,1566,37.25483256,105,경기도 안산시 단원구 대부동동 2123,032-880-9613,1898
,1,127.0185506,수원고등학교,경기도 수원시 팔달구 정조로 666-10 (매교동),,4111513300,4111000000,4111565000,6371,37.26671025,138,경기도 수원시 팔달구 매교동 251,031-228-2933,7722
,1,126.795602,풍동고등학교 운동장,경기도 고양시 일산동구 숲속마을로 119(풍동),,4128510700,4128000000,4128554000,3300,37.671619,117,경기도 고양시 일산동구 풍동 1231,031-926-6203,4000
,1,126.6672564,석남녹지도시숲,,,2826011000,2826000000,2826055000,45000,37.5026106,138,인천광역시 서구 석남동 223-494,032-560-4700,5454
,1,126.6853344,불로지구3호어린이공원,,,2826012100,2826000000,2826064000,1050,37.61208971,146,인천광역시 서구 불로동 785-10,032-560-4700,1272
Feb-68,1,126.9991647,파리15구공원,,,1165010700,1165000000,1165054000,708,37.49951659,86,서울특별시 서초구 반포동 68-2,02-2155-7112,858
,1,127.095878,옥빛중학교 운동장,경기도 양주시 옥정동로3길 57(옥정동),,4163011400,4163000000,4163058000,2400,37.81459268,56,경기도 양주시 옥정동 1082,031-894-0899,2909
360-7,1,126.8812859,광주인성고등학교 운동장,광주광역시 남구 서문대로 390(송하동),,2915511000,2915500000,2915572000,17670,35.10243438,32,광주광역시 남구 행암동 360-7,062-670-9200,21418
1731-0,1,126.9410402,으뜸어린이공원,,,1162010100,1162000000,1162051000,3232,37.47848523,123,서울특별시 관악구 봉천동 1731,02-879-4384,3918
1510-0,1,126.9611031,탑골어린이공원,,,1162010100,1162000000,1162051000,492,37.47445577,125,서울특별시 관악구 봉천동 1510,02-879-4415,596
1678-12,1,126.9246411,남강어린이공원,,,1162010200,1162000000,1162064000,774,37.47351276,135,서울특별시 관악구 신림동 1678-12,02-879-4629,938
1716-1,1,126.9423008,목화어린이공원,,,1162010200,1162000000,1162064000,388,37.46791196,138,서울특별시 관악구 신림동 1716-1,02-879-4813,470
930-2,1,129.0620379,부산아시아드 조각광장,부산광역시 동래구 사직로 45(사직동),,2626010900,2626000000,2626059000,9822.88,35.19260822,95,부산광역시 동래구 사직동 930-2,051-500-2144,11906
1685-0,1,126.9124696,약수어린이공원,,,1162010200,1162000000,1162064000,533,37.47318588,133,서울특별시 관악구 신림동 1685,02-879-4596,646
1557-34,1,126.9447899,청룡어린이공원,,,1162010100,1162000000,1162051000,852,37.47767211,124,서울특별시 관악구 봉천동 1557-34,02-879-4384,1033
,1,126.5292943,서호초등학교,제주특별자치도 서귀포시 호근남로 40(호근동),,5013010400,5013000000,5013059000,3300,33.25375729,99,제주특별자치도 서귀포시 호근동 1421-5,064-760-3286,4000
488-1,1,126.6231984,탑동초등학교 운동장,충청남도 당진시 대호만로 12(채운동),,4427010200,4427000000,4427052000,2403,36.89725024,36,충청남도 당진시 채운동 488-1,041-354-1252,2912
1850-0,1,128.6187914,기상대공원,,,2714010100,2714000000,2714051000,672,35.88447578,236,대구광역시 동구 신암동 1850,053-662-3162,8147
980-0,1,128.6477119,만촌초등학교,대구광역시 수성구 국채보상로214길 33(만촌동),,2726010200,2726000000,2726056000,4946,35.86698272,153,대구광역시 수성구 만촌동 980,053-232-2010,5995
,1,127.1021465,해누리이음학교,서울특별시 송파구 송파대로37길 95(가락동),,1171010700,1171000000,1171063100,2303,37.49842415,106,서울특별시 송파구 가락동 909,221473105,2791
Jan-53,1,127.0107578,미도어린이공원,,,1165010700,1165000000,1165054000,988,37.50171071,85,서울특별시 서초구 반포동 53-1,02-2155-7112,1197
391-3,1,126.9306571,한국농업기술진흥원 잔디밭,전북특별자치도 익산시 평동로 457(송학동),,5214011600,5214000000,5214062000,4710,35.93726669,126,전북특별자치도 익산시 송학동 391-3,063-859-5964,6498
885-0,1,129.0689633,사송중학교 운동장,,,4833031025,4833000000,4833031000,3000,35.31965159,124,경상남도 양산시 동면 내송리 885,055-392-2843,3636
510-1,1,128.6040729,강현초등학교,강원특별자치도 양양군 강현면 진미로12번길 22,,5183035036,5183000000,5183035000,7000,38.14922852,5,강원특별자치도 양양군 강현면 정암리 510-1,033-670-1722,8485
1318-9,1,126.7084775,해든공원,,,2826011400,2826000000,2826062000,8252,37.58456762,156,인천광역시 서구 당하동 1318-9,032-560-4704,10002
,1,127.0887969,옥정고등학교 운동장,경기도 양주시 옥정로7길 47(옥정동),,4163011400,4163000000,4163056000,2700,37.82758301,54,경기도 양주시 옥정동 948,031-839-1616,3272
